PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
236892674,20191483,29,2020-10-13T13:15:00,"7400 Block Race St Pittsburgh, PA 15208",N,Homewood South,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1304,9,2,-79.891210648546,40.4576386922228
236893637,20191334,16,2020-10-13T08:15:00,"N Homewood Ave & Frankstown Ave Pittsburgh, PA 15208",Y,Homewood North,5,PROSTITUTION,5902(a)(2) Prostitution - Loitering for purpose of / 5902(a)(1) Prostitution ,1302,9,2,-79.8963011488784,40.457404655664
238168871,20202127,6,2020-10-29T02:30:00,"3500 Block Sirius St Pittsburgh, PA 15214",N,Summer Hill,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2612,1,1,-80.0052292308826,40.4846320722011
238174553,20202169,6,2020-10-29T05:30:00,"1800 Block Warriors Rd Pittsburgh, PA 15205",N,Westwood,6,THEFT FROM AUTO,3934 Theft from Vehicle,2811,2,5,-80.0492441019199,40.4321084710689
238175287,20202170,6,2020-10-29T05:30:00,"Adger St & Ovid St Pittsburgh, PA 15205",N,Westwood,6,THEFT FROM AUTO,3934 Theft from Vehicle,2811,2,5,-80.0497093707306,40.4297209737836
238175858,20202171,6,2020-10-29T06:30:00,"Adger St & Ovid St Pittsburgh, PA 15205",N,Westwood,6,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,2811,2,5,-80.0497093707306,40.4297209737836
238180211,20202190,6,2020-10-29T06:00:00,"1900 Block Warriors Rd Pittsburgh, PA ",N,Westwood,6,THEFT FROM AUTO,3934 Theft from Vehicle,2811,2,5,-80.0480761415424,40.4302760488411
238181235,20202197,6,2020-10-29T07:00:00,"1800 Block Warriors Rd Pittsburgh, PA 15205",N,Westwood,6,THEFT FROM AUTO,3934 Theft from Vehicle,2811,2,5,-80.0492441019199,40.4321084710689
238182180,20202209,6,2020-10-29T07:00:00,"1100 Block Fredonia St Pittsburgh, PA 15220",N,Crafton Heights,6,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,2814,2,5,-80.0421538067369,40.4446699864518
238182716,20202213,6,2020-10-29T07:30:00,"1100 Block Fredonia St Pittsburgh, PA 15220",N,Crafton Heights,6,THEFT FROM AUTO,3934 Theft from Vehicle,2814,2,5,-80.0421538067369,40.4446699864518
238183655,20202223,10,2020-10-29T08:40:00,"200 Block Spencer Ave Pittsburgh, PA 15227",N,Carrick,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2904,,,0,0
238184502,20202227,6,2020-10-29T02:30:00,"1400 Block Harlow St Pittsburgh, PA 15204",N,Chartiers City,6,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,2021,2,5,-80.0713674628773,40.4593340267843
238185648,20202228,10,2020-10-29T08:40:00,"200 Block Spencer Ave Pittsburgh, PA 15227",N,Carrick,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2904,,,0,0
238187055,20202246,6,2020-10-29T10:04:00,"5800 Block Phillips Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,"3921 Theft by Unlawful Taking or Disposition. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1408,5,3,-79.9231089855806,40.4323543383602
237221776,20194405,0,2020-10-17T14:15:00,"6400 Block Frankstown Ave Pittsburgh, PA 15206",N,Larimer,5,99,9999 9999 - (Misc. Incident): ,1208,,,0,0
237245172,20194955,6,2020-10-18T11:44:00,"1500 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property.,2902,4,3,-79.9892342445047,40.4010864224386
237246220,20194956,18,2020-10-18T11:56:00,"7500 Block Susquehanna St Pittsburgh, PA 15208",N,Homewood South,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 627.02(b)(i) Possessing a small amount of marijuana,1303,,,0,0
238345104,20203569,0,2020-10-31T10:35:00,"2400 Block Maple Ave Pittsburgh, PA 15214",N,Perry South,1,99,8106 Shots Fired,2614,6,1,-80.0086967639394,40.4678246191756
238346889,20203661,6,2020-10-31T11:30:00,"4900 Block Yew St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT FROM AUTO,3934 Theft from Vehicle,804,7,2,-79.9475611460674,40.4580979243371
238347607,20203632,0,2020-10-31T13:30:00,"Beaver Ave & Ohio River Blvd Ramp Pittsburgh, PA 15233",N,Chateau,1,99,9999 9999 - (Misc. Incident): ,2108,,,0,0
238348795,20203638,26,2020-10-31T12:50:00,"6100 Block Carver St Pittsburgh, PA 15206",Y,Larimer,5,OBST ADM LAW /OTHR GOVT FUNCTN,5101 Obstructing Admin. of Law  / 9012 Non-Violent Domestic,1208,9,2,-79.9163470628287,40.4657156725257
238350754,20203593,26,2020-10-30T23:30:00,"300 Block N Braddock Ave Pittsburgh, PA 15208",Y,Point Breeze North,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,1405,9,2,-79.8928013971768,40.4496546331193
238351339,20203708,11,2020-10-31T14:52:00,"6300 Block Mc Pherson Blvd Pittsburgh, PA 15208",N,Point Breeze,4,THEFT OF SERVICES,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",1404,,,0,0
238351404,20203811,0,2020-10-31T17:15:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,9999 9999 - (Misc. Incident): ,1106,9,2,-79.9086166765251,40.4703056329977
236659980,20190746,0,2020-10-12T10:25:00,"600 Block Pressley St Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): ,2304,1,1,-79.9986796721415,40.4522188227154
236694128,20190788,11,2020-10-10T17:00:00,"5400 Block Columbo St Pittsburgh, PA 15206",N,Garfield,5,IDENTITY THEFT,4120 Identity Theft,1114,9,2,-79.9339904815497,40.4686619846995
236705537,20190795,0,2020-10-11T10:00:00,"Murray Ave & Bartlett St Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): Suspicious Activity ,1408,5,3,-79.9228825034056,40.4360294630404
236723720,20190811,0,2020-10-12T12:13:00,"2800 Block Norabell Ave Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): Civil Complaint,1918,4,5,-80.0162342646152,40.3874735475304
236726508,20190830,6,2020-10-12T12:53:00,"700 Block Mercer St Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,305,,,0,0
236730470,20190852,27,2020-10-11T11:00:00,"Walnut St & S Highland Ave Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,706,8,2,-79.9253441294121,40.4541694479098
236812679,20191062,0,2020-10-12T19:22:00,"Sarah St & S 12th St Pittsburgh, PA 15203",Y,South Side Flats,3,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals. / 3112 Traffic-Control Signals.,1702,3,3,-79.9863623457099,40.4277462951036
237880903,20195046,5,2020-10-18T15:39:00,"400 Block S Graham St Pittsburgh, PA 15232",Y,Friendship,5,BURGLARY,3502 Burglary.,807,7,2,-79.9370554394836,40.4593249119549
-3319021325,20200209,14,2020-10-26T09:30:00,"4400 Block Browns Hill Rd Pittsburgh, PA 15217",N,Greenfield,4,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1517,,,0,0
237936379,20200313,99,2020-10-26T12:35:00,"3100 Block Ashlyn St Pittsburgh, PA 15204",Y,Sheraden,6,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2018,2,5,-80.0563555218042,40.4560823371904
237949981,20200472,27,2020-10-24T15:00:00,"800 Block E Saw Mill Run Blvd Pittsburgh, PA 15226",N,Bon Air,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1806,,,0,0
237953486,20200546,11,2020-10-25T12:30:00,"400 Block Lincoln Ave Pittsburgh, PA 15206",N,Larimer,5,THEFT BY DECEPTION,3922 Theft by Deception.,1208,,,0,0
237954242,20200549,11,2020-10-26T19:00:00,"800 Block Flemington St Pittsburgh, PA 15217",N,Greenfield,4,INSURANCE FRAUD,4117 Insurance Fraud,1517,5,3,-79.9357927379974,40.4258585763447
237963307,20200736,0,2020-10-24T01:00:00,"2600 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,99,9999 9999 - (Misc. Incident): Health inspection shut down.,203,7,6,-79.9784289014294,40.454936944514
237963700,20200684,18,2020-10-26T22:12:00,"Federal St S & Lacock St Pittsburgh, PA 15212",Y,Allegheny Center,1,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,2204,1,6,-80.0045506881199,40.4492105654313
237970107,20200847,6,2020-10-27T05:22:00,"400 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",201,6,6,-79.9993229906853,40.4387869875112
236543752,20189010,11,2020-10-09T10:26:00,"7900 Block Susquehanna St Pittsburgh, PA 15221",N,Homewood South,5,THEFT BY DECEPTION,3922 Theft by Deception.,1304,9,2,-79.887256615422,40.4492306941579
236544541,20189097,0,2020-10-09T17:45:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,9999 9999 - (Misc. Incident): PFA with Weapons Supplement Attached,1106,9,2,-79.9086166765251,40.4703056329977
236545898,20189045,6,2020-10-09T17:08:00,"2300 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2902,4,3,-79.9855231716653,40.3890572692795
236547975,20189188,27,2020-10-09T20:12:00,"Bingham St & S 6th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1702,3,3,-79.9936346226734,40.4293585475718
237864166,20199821,6,2020-10-25T11:30:00,"500 Block N Negley Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT FROM AUTO,3934 Theft from Vehicle,1113,9,2,-79.9277273373805,40.4678194981381
237868765,20199936,26,2020-10-25T19:40:00,"400 Block N Pacific Ave Pittsburgh, PA 15224",N,Garfield,5,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,1017,7,2,-79.9409607573655,40.4596880925635
237869257,20199956,99,2020-10-25T13:35:00,"1400 Block Methyl St Pittsburgh, PA 15216",N,Brookline,6,DOG BITE,9492 Dog Bite,1919,4,5,-80.0260254093828,40.4142213461431
237898740,20200204,6,2020-10-26T09:38:00,"2400 Block Ruralton St Pittsburgh, PA 15210",Y,Carrick,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 13(a)(16) Possession of Controlled Substance / 5123 Contraband. / 3503(b.1) Criminal Trespass - Simple Trespasser,2904,4,3,-79.9801632726214,40.3917686252776
237905819,20200230,5,2020-10-25T01:00:00,"300 Block Atwood St Pittsburgh, PA 15213",N,Central Oakland,4,BURGLARY,3502 Burglary.,405,3,3,-79.9559484465061,40.439525566306
236925460,20191597,26,2020-10-12T22:30:00,"3200 Block Glen Mawr St Pittsburgh, PA 15204",N,Sheraden,6,LOITERING PROWLING AT NIGHT,5506 Loitering and Prowling at Night,2018,2,5,-80.0541777372085,40.4585627782763
236926452,20191599,6,2020-10-11T16:30:00,"1300 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1918,4,5,-80.0108497138438,40.3922704647233
236927399,20191600,11,2020-10-12T13:00:00,"1700 Block W North Ave Pittsburgh, PA 15233",N,Chateau,1,CREDIT CARDS,4106 Access Device Fraud,2108,,,0,0
236932529,20191735,10,2020-10-13T19:00:00,"200 Block Vineland St Pittsburgh, PA 15234",N,Overbrook,3,HARRASSMENT,2709(a) Harassment.,3207,4,5,-79.9980178394769,40.3866486007888
-3394161360,20191499,27,2020-10-13T12:45:00,"6900 Block Thomas Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,1405,9,2,-79.9069076130174,40.4532109263376
-3314031561,20191486,99,2020-10-13T12:50:00,"60 Block S 15th St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1702,3,3,-79.9836600665735,40.4293134670345
238188211,20202259,6,2020-10-27T09:00:00,"2800 Block New Beaver Ave Pittsburgh, PA 15233",N,Marshall-Shadeland,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2704,,,0,0
238188705,20202184,0,2020-10-29T07:42:00,"Hamilton Ave & N Dallas Ave Pittsburgh, PA 15208",Y,Homewood West,5,99,3714 Careless Driving,1207,9,2,-79.9047627148478,40.4562717823089
238193493,20202265,6,2020-10-29T09:00:00,"1000 Block Rue Grande Vue St Pittsburgh, PA 15220",N,Elliott,6,THEFT FROM AUTO,3934 Theft from Vehicle,2020,2,5,-80.0353687083097,40.4476683511892
238192392,20195285,3,2020-10-18T22:26:00,"4200 Block Main St Pittsburgh, PA 15224",Y,Bloomfield,5,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2701 Simple Assault.,903,7,2,-79.9544019071416,40.4648932051879
238201831,20202269,99,2020-10-29T11:25:00,"600 Block Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,LOST PROPERTY,9504 Lost Property,201,6,6,-80.0017928321911,40.4425929172081
238205016,20202308,27,2020-10-29T01:00:00,"3100 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2715,1,1,-80.0314333258072,40.4733375827736
238207001,20202324,27,2020-10-26T18:00:00,"Murray Ave & Beacon St Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1408,5,3,-79.9228362821829,40.4347617597849
238216740,20202345,11,2020-10-29T13:05:00,"300 Block Darragh St Pittsburgh, PA 15213",N,West Oakland,4,THEFT BY DECEPTION,3922 Theft by Deception. / 3923 Theft by Extortion.,402,,,0,0
238223463,20202374,6,2020-10-29T13:51:00,"1000 Block King Ave Pittsburgh, PA 15206",N,Highland Park,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1102,7,2,-79.9278871648678,40.4749829730926
238223992,20202381,27,2020-10-29T14:05:00,"5th Ave & Miltenberger St Pittsburgh, PA 15219",N,Bluff,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1785 Proof of Financial Responsibility Following Accident.,103,6,3,-79.9813687677992,40.4383945527644
237278116,20195495,26,2020-10-19T09:00:00,"1200 Block Mutual St Pittsburgh, PA 15204",N,Sheraden,6,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,2022,,,0,0
237310629,20195672,99,2020-10-19T12:00:00,"100 Block Washington Pl Pittsburgh, PA 15219",N,Central Business District,2,LOST PROPERTY,9504 Lost Property,201,,,-80.0615118313938,40.3440602798926
237348248,20195835,6,2020-10-19T17:55:00,"2300 Block Murray Ave Pittsburgh, PA 15217",Y,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 6110.1 Possesion of Firearm by Minor / 3308 One-Way Roadways and Rotary Traffic Islands. / 1501 Drivers Required to be Licensed.,1408,5,3,-79.9234070320716,40.430512445279
238353657,20203878,27,2020-10-31T18:40:00,"900 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1201,9,2,-79.8923529450752,40.4861185015656
238354393,20203840,99,2020-10-31T17:45:00,"400 Block Bausman St Pittsburgh, PA 15210",N,Knoxville,3,AIDED CASE,9497 Aided Case,3001,3,5,-79.9956651914049,40.414215554063
238359678,20203959,6,2020-10-31T20:43:00,"1900 Block Wright St Wilkinsburg, PA 15221",N,Outside City,OSC,THEFT,3921 Theft by Unlawful Taking or Disposition.,5599,,,-79.8639944370146,40.4484272984948
238362925,20204156,0,2020-11-01T01:55:00,"1500 Block Saw Mill Run Blvd Pittsburgh, PA 15205",N,Upper Hill,6,99,9999 9999 - (Misc. Incident): ,506,,,0,0
238363297,20204058,10,2020-11-01T02:00:00,"Fairston St & Fusion St Pittsburgh, PA 15204",N,Crafton Heights,6,HARRASSMENT,2709(a) Harassment.,2814,2,5,-80.0521145919604,40.4514002337499
238363318,20204029,99,2020-10-31T23:05:00,"2600 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,GAMBLING INVESTIGATION,9130 Graffiti Investigation,1609,3,3,-79.9682421893291,40.4272789740558
236907900,20191568,99,2020-10-13T15:17:00,"1200 Block Montezuma St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,FOUND PROPERTY,9489 Found Property,1203,9,2,-79.9022083454784,40.4672418999621
236912982,20191569,10,2020-10-13T13:44:00,"East Ohio St & Madison Ave Pittsburgh, PA 15212",N,East Allegheny,1,HARRASSMENT,2709 Harassment (Non-Specific),2304,1,1,-79.9968201151915,40.4541641358911
236920560,20191570,6,2020-10-13T09:00:00,"300 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 1-401 Engaging in Fraudulent Practices / 9999 9999 - (Misc. Incident): Fraud,201,6,6,-79.9979301341696,40.4378124774382
236933469,20191773,0,2020-10-13T20:30:00,"1100 Block Success St Pittsburgh, PA 15212",N,California-Kirkbride,1,99,9993 PFA Service with Weapons Supplement,2507,6,1,-80.0237399616915,40.4631654804228
236935325,20191805,99,2020-10-13T21:41:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,FOUND PROPERTY,9489 Found Property,305,6,3,-79.9799824053927,40.4435889103074
-3477040084,20191819,10,2020-10-13T22:19:00,"2800 Block Patterson St Pittsburgh, PA 15203",Y,South Side Slopes,3,HARRASSMENT,2709(a) Harassment.,1608,3,3,-79.9692080675928,40.4187681741404
236939784,20191796,99,2020-10-13T21:37:00,"2200 Block Noblestown Rd Pittsburgh, PA 15205",N,Westwood,6,AIDED CASE,9497 Aided Case,2811,2,5,-80.0539118407942,40.4300804399731
238042135,20201165,23,2020-10-27T16:10:00,"7th St & Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-80.000262668607,40.44323848827
238102042,20194708,10,2020-10-17T22:30:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Marshall-Shadeland,2,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault.",201,6,6,-79.9960409452176,40.4350395659105
238117720,20201543,0,2020-10-28T07:35:00,"2600 Block Library Rd Pittsburgh, PA 15234",N,Overbrook,3,99,9999 9999 - (Misc. Incident): ,3207,4,5,-80.0000675504602,40.380836884642
236553718,20189355,10,2020-10-10T01:37:00,"1700 Block Arlington Ave Pittsburgh, PA 15210",Y,South Side Slopes,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 9501 Bench Warrant",1706,3,0,-79.9864357729389,40.4176189902752
236555018,20189349,0,2020-10-10T01:29:00,"500 Block Collins Ave Pittsburgh, PA 15206",Y,East Liberty,5,99,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1113,,,0,0
236555378,20189282,99,2020-10-09T23:22:00,"100 Block Kathleen St Pittsburgh, PA 15211",N,Mount Washington,3,AIDED CASE,9497 Aided Case,1807,3,5,-80.0043452707438,40.4253645677376
236561626,20188967,10,2020-10-09T15:06:00,"1500 Block Clarkton St Pittsburgh, PA 15204",Y,Windgap,6,HARRASSMENT,2709(a) Harassment.,2807,2,5,-80.0747409686147,40.4588874909185
236563728,20189550,99,2020-10-10T10:52:00,"Hobart Rd & Prospect Dr Pittsburgh, PA 15217",N,Squirrel Hill South,4,FOUND PROPERTY,9489 Found Property,1413,5,3,-79.9330813268504,40.4319868790287
236563935,20189498,5,2020-10-10T08:47:00,"2800 Block Sageman Ave Pittsburgh, PA 15226",N,Brookline,6,BURGLARY,3502 Burglary.,1918,4,5,-80.0158298792445,40.387030146961
236583508,20189752,27,2020-10-10T18:12:00,"1700 Block Spring Garden Ave Pittsburgh, PA 15212",Y,Spring Garden,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2412,1,1,-79.9852177750994,40.4669164886479
236586465,20189693,17,2020-10-10T16:45:00,Zone 4,Y,,4,SEXUAL ABUSE OF CHILDREN,6312 Sexual Abuse of Children.,,,,,
236586573,20189873,27,2020-10-10T20:30:00,"38th St & Mineral Way Pittsburgh, PA 15201",N,Lower Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,603,7,2,-79.9647765181886,40.467263778568
237932818,20200379,6,2020-10-26T14:25:00,"600 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-79.9974088316752,40.4415332222525
237956004,20200489,6,2020-10-26T17:25:00,"400 Block Kennedy Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2615,1,1,-80.0154847564626,40.4743429553102
238040626,20198783,10,2020-10-23T22:22:00,"Dengler St & Spring St Pittsburgh, PA 15210",N,Arlington,3,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",1603,3,3,-79.9676522297338,40.4155665439381
236977232,20192171,14,2020-10-14T07:00:00,"200 Block E Carson St Pittsburgh, PA 15219",N,South Side Flats,3,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1702,3,3,-79.9775107965358,40.4283181874135
236980069,20192170,14,2020-10-14T07:00:00,"100 Block E Carson St Pittsburgh, PA 15219",N,South Shore,3,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1921,2,5,-80.0213528738134,40.4421395488467
237021148,20192403,27,2020-10-14T19:02:00,"Becks Run Rd & Wagner St Pittsburgh, PA 15210",N,St. Clair,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid / 1786 Required Financial Responsibility. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1606,3,3,-79.9758954781239,40.4043832696765
237022791,20192489,99,2020-10-14T21:20:00,"1000 Block Wheeler St Pittsburgh, PA 15221",N,Homewood North,5,MISCELLANEOUS FIRE VEH INVEST CONTINUED,9122 Miscellaneous Fire Vehicle Investigation to Continue,1301,9,2,-79.8845139185242,40.4576810381164
237101212,20192975,0,2020-10-15T00:01:00,"10 Block Natchez St Pittsburgh, PA 15211",N,Mount Washington,3,99,413 Construction and Repair,1914,2,5,-80.0088190266554,40.4291228443827
237113990,20193228,10,2020-10-15T20:35:00,"2000 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,HARRASSMENT,2709 Harassment (Non-Specific),203,7,6,-79.9839282048404,40.4511259590724
237114399,20193225,27,2020-10-15T20:40:00,"Collier St & Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1302,9,2,-79.8919053652988,40.4564009200712
238228244,20202407,6,2020-10-29T15:01:00,"1900 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1702,,,0,0
238228420,20202408,6,2020-10-20T20:00:00,"20 Block Sylvania Ave Pittsburgh, PA 15210",N,Beltzhoover,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1809,3,5,-80.0090502243809,40.4161518658323
238249531,20202415,99,2020-10-29T18:49:00,"West End Cir Brg Pittsburgh, PA 15219",Y,South Shore,3,AIDED CASE,9497 Aided Case,1921,,,0,0
238249597,20202478,0,2020-10-29T18:12:00,"Liberty Brg Pittsburgh, PA 15219",Y,Bluff,2,DUI - GENERAL IMPAIRMENT,3310 Following Too Closely. / 3802(a)(1) DUI - General Impairment / 1543 Driving While Operating Privilege is Suspended or Revoked.,103,,,0,0
238256072,20202394,16,2020-10-29T14:45:00,"600 Block Commonwealth Pl Pittsburgh, PA 15222",Y,Central Business District,2,PROSTITUTION,5902(a)(1) Prostitution  / 907 Possessing Instruments of Crime.,201,6,6,-80.0064088164826,40.4417408925392
238258298,20202608,6,2020-10-29T18:00:00,"1100 Block Fredonia St Pittsburgh, PA 15220",Y,Crafton Heights,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 3928 Unauthorized Use of Automobile and Other Vehicles.,2814,2,5,-80.0421538067369,40.4446699864518
238365750,20202627,27,2020-10-29T23:27:00,"Arlington Ave & Knox Ave Pittsburgh, PA 15210",N,Allentown,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1803,3,5,-79.9907035654699,40.4201659062509
238366781,20204117,27,2020-11-01T01:32:00,"100 Block Dewitt St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1915,2,5,-80.0099413070477,40.4245005376682
238367627,20204211,27,2020-11-01T03:38:00,"1900 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2901,4,3,-79.9875088066487,40.3960603966568
238371042,20204233,21,2020-11-01T04:35:00,"2100 Block Mazette Pl Pittsburgh, PA 15205",Y,Fairywood,6,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3802(a)(1) DUI - General Impairment,2808,,,0,0
238380573,20204307,99,2020-11-01T09:32:00,"6100 Block Station St Pittsburgh, PA 15206",N,East Liberty,5,FOUND PROPERTY,9489 Found Property,1115,9,2,-79.9186239632842,40.4687844324904
238380701,20204293,13,2020-11-01T09:36:00,"State Route 28 South & State Route 8 On Ramp South Etna, PA 15223",Y,Outside City,OSC,RECEIVING STOLEN PROPERTY,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 9124 Drug Investigation / 1511 Carrying and Exhibiting Driver's License on Demand. / 1784 Proof of Financial Responsibility Following Violation. / 1311 Registration Card to be Signed and Exhibited on Demand. / 3112 Traffic-Control Signals. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 4524 Windshield Obstructions and Wipers.",5599,,,0,0
